"Code_bib","nom_de_l_etablissement","Adresse","code_departement","Département","CP","Ville","code_insee_commune","Population.commune","Longitude","Latitude","Statut","type_adresse","site_internet","Amplitude.horaire","nombre_de_places","nb_postes_informatiques_publics","ouverture_le_dimanche","connexion_wi_fi","Surface","nombre_de_livres","nombre_de_cd","nombre_de_dvd","nombre_d_emprunteurs","nombre_d_entrees","nombre_de_prets","depenses_action_culturelle","depenses_documentaires","etp_salaries","Nombre.de.salariés","gratuite_des_services","nombre_actions_culturelles","pop_touchee_actions_culturelles"
"BD4317","971 - Bibliothèque Départementale de Prêt de la Guadeloupe","0 Quartier Desmarais","971","Guadeloupe",97109,"Basse-Terre","97105",9973,NA,NA,"Bibliothèque départementale","Bibliothèque départementale",NA,NA,NA,0,NA,NA,1290,0,NA,NA,174.548387096774,2404.08,2208.06896551724,5000,126720,12,12,NA,NA,NA
"LI4336","Mediatheque Yvon Leborgne","RUE SONNY ACHILLE RENE BOISNEUF","971","Guadeloupe",97117,"Port-Louis","97122",5655,-61.531754,16.416159,"Bibliothèque municipale","Bâtiment ouvert","Site Portail Réseau - Catalogue en ligne",35.5,40,9,"Non","Oui",1019,12350.7142857143,722,1152,130,2682,2208.06896551724,7917,2808,3.6,10,"Non",41,1469
"LI4343","Bibliotheque Municipale","RUE GRIGNANT","971","Guadeloupe",97115,"Sainte-Rose","97129",17878,-61.69901,16.331546,"Bibliothèque municipale","Bâtiment ouvert","Absence site internet",35,0,0,"Non","Non",0,12350.7142857143,0,0,0,0,1305,6413.66666666667,0,2,2,"Oui",NA,NA
"LI19767","Bibliothèque de Chazeau","Rue de la Chapelle",NA,"Guadeloupe",97139,"Les Abymes","97101",52586,-61.480469,16.2914,"Bibliothèque intercommunale","Bâtiment ouvert","capexcellence.net",35,20,0,"Non","Non",90,2500,9,40,174.548387096774,2404.08,2208.06896551724,6413.66666666667,3000,2,2,"Oui",NA,NA
"LI4342","Bibliotheque Multimedia","Place Schoelcher","971","Guadeloupe",97180,"Sainte-Anne","97128",24518,-61.385484,16.225103,"Bibliothèque municipale","Bâtiment ouvert",NA,35,50,4,"Oui","Oui",400,1565,9,12,74,3145,455,2336,13332,5,5,"Oui",22,571
"LI19766","Bibliothèque de Louisy Mathieu","Cite Louisy Mathieu, Porte 0303 Bât 03",NA,"Guadeloupe",97139,"Les Abymes","97101",52586,-61.52692,16.226868,"Bibliothèque intercommunale","Bâtiment ouvert","0",0,NA,1,"Non","Non",NA,12350.7142857143,NA,NA,0,2404.08,0,6413.66666666667,0,0,0,"Oui",NA,NA
"LI4312","Médiathèque du Palais de la culture Felix Proto","Rue Boucherville",NA,"Guadeloupe",97139,"Les Abymes","97101",52586,-61.505355,16.268017,"Bibliothèque municipale","Bâtiment ouvert","1",35,75,8,"Non","Oui",320,9065,260,100,154,3273,1776,5146,3939,6,6,"Non",16,3000
"LI4313","Bibliotheque Municipale","Rue Stephane Francisquin",NA,"Guadeloupe",97121,"Anse-Bertrand","97102",4107,-61.508246,16.470969,"Bibliothèque municipale","Bâtiment ouvert","https://mediathequesnordguadeloupe.bibli.fr",40,71,15,"Non","Oui",450,11668,89,50,142,10100,3800,6413.66666666667,10000,4,5,"Oui",NA,NA
"LI4315","Bibliothèque Municipale","RUE DES ANCIENNES ECOLES","971","Guadeloupe",97123,"Baillif","97104",5127,-61.74622,16.021074,"Bibliothèque municipale","Bibliobus","OUI",0,30,0,"Non","Non",269,12350.7142857143,0,0,0,0,0,784,4000,3,3,"Oui",7,410
"LI4320","Bibliotheque Municipale","AVENUE PAUL LACAVE","971","Guadeloupe",97130,"Capesterre-Belle-Eau","97107",17888,-61.564537,16.043784,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,12350.7142857143,NA,NA,174.548387096774,2404.08,2208.06896551724,6413.66666666667,10607.6363636364,NA,NA,NA,NA,NA
"LI18458","Relais livres",NA,"971","Guadeloupe",97122,"Baie-Mahault","97103",31370,-61.594955,16.246132,"Bibliothèque municipale","Bâtiment ouvert","http://baie-mahault.bibli.fr",NA,12,0,"Non","Non",64,4039,119,165,0,0,0,0,0,1,1,"Non",NA,NA
"LI4323","Bibliothèque Mathias Mathurin","BEAUSEJOUR","971","Guadeloupe",97127,"La Désirade","97110",1420,-61.077714,16.302539,"Bibliothèque municipale","Bâtiment ouvert","non",32,30,0,"Non","Non",96,0,0,0,89,1007,5100,6413.66666666667,0,1,1,"Oui",540,270
"LI4344","Bibliotheque Municipale",NA,"971","Guadeloupe",97136,"Terre-de-Bas","97130",937,-61.632734,15.852351,"Bibliothèque municipale","Bâtiment ouvert",NA,35,48,0,"Non","Oui",100,2750,0,0,53,2404.08,650,6413.66666666667,2388,2,2,"Oui",13,77
